"size","version","time"
100,"naive",0.004149
100,"better",0.003188
100,"naive",0.003364
100,"better",0.003120
100,"naive",0.003595
100,"better",0.003111
100,"naive",0.003201
100,"better",0.003313
100,"naive",0.003181
100,"better",0.003114
100,"naive",0.003318
100,"better",0.003141
100,"naive",0.003189
100,"better",0.003117
100,"naive",0.003376
100,"better",0.003119
100,"naive",0.003195
100,"better",0.003135
100,"naive",0.003181
100,"better",0.003104
100,"blas",0.002584
100,"blas",0.002584
100,"blas",0.002584
100,"blas",0.002582
100,"blas",0.002583
100,"blas",0.002583
100,"blas",0.002582
100,"blas",0.002583
100,"blas",0.002583
100,"blas",0.002582
200,"naive",0.033766
200,"better",0.024674
200,"naive",0.029177
200,"better",0.028225
200,"naive",0.029301
200,"better",0.024318
200,"naive",0.028781
200,"better",0.025340
200,"naive",0.028912
200,"better",0.024277
200,"naive",0.028811
200,"better",0.024655
200,"naive",0.028780
200,"better",0.024269
200,"naive",0.028813
200,"better",0.024621
200,"naive",0.030263
200,"better",0.024320
200,"naive",0.028811
200,"better",0.024348
200,"blas",0.020657
200,"blas",0.020655
200,"blas",0.020646
200,"blas",0.020644
200,"blas",0.020734
200,"blas",0.020674
200,"blas",0.020648
200,"blas",0.020645
200,"blas",0.020654
200,"blas",0.020726
300,"naive",0.108367
300,"better",0.081568
300,"naive",0.102395
300,"better",0.083328
300,"naive",0.100779
300,"better",0.081533
300,"naive",0.100701
300,"better",0.081988
300,"naive",0.100611
300,"better",0.082739
300,"naive",0.100746
300,"better",0.081358
300,"naive",0.100633
300,"better",0.085382
300,"naive",0.101482
300,"better",0.084801
300,"naive",0.103507
300,"better",0.081704
300,"naive",0.101183
300,"better",0.081778
300,"blas",0.069737
300,"blas",0.069860
300,"blas",0.069881
300,"blas",0.071165
300,"blas",0.069891
300,"blas",0.069813
300,"blas",0.069794
300,"blas",0.069802
300,"blas",0.070592
300,"blas",0.070054
400,"naive",0.251598
400,"better",0.191973
400,"naive",0.249661
400,"better",0.193035
400,"naive",0.248248
400,"better",0.191961
400,"naive",0.250122
400,"better",0.191957
400,"naive",0.250289
400,"better",0.192079
400,"naive",0.247516
400,"better",0.193397
400,"naive",0.248923
400,"better",0.192008
400,"naive",0.252361
400,"better",0.192754
400,"naive",0.250465
400,"better",0.192135
400,"naive",0.248256
400,"better",0.193489
400,"blas",0.165954
400,"blas",0.166123
400,"blas",0.166020
400,"blas",0.167442
400,"blas",0.166095
400,"blas",0.166068
400,"blas",0.167464
400,"blas",0.166032
400,"blas",0.165946
400,"blas",0.166073
500,"naive",0.507981
500,"better",0.375866
500,"naive",0.511050
500,"better",0.374186
500,"naive",0.506113
500,"better",0.374924
500,"naive",0.505547
500,"better",0.374216
500,"naive",0.504114
500,"better",0.374694
500,"naive",0.507341
500,"better",0.374338
500,"naive",0.504093
500,"better",0.374518
500,"naive",0.507005
500,"better",0.375105
500,"naive",0.504432
500,"better",0.374671
500,"naive",0.504894
500,"better",0.376244
500,"blas",0.336247
500,"blas",0.346604
500,"blas",0.354134
500,"blas",0.374974
500,"blas",0.325384
500,"blas",0.341384
500,"blas",0.388887
500,"blas",0.389585
500,"blas",0.356577
500,"blas",0.334249
600,"naive",1.310767
600,"better",0.874736
600,"naive",2.044962
600,"better",0.950679
600,"naive",1.408316
600,"better",0.663124
600,"naive",1.163780
600,"better",0.682754
600,"naive",1.173732
600,"better",0.667205
600,"naive",1.098498
600,"better",0.668761
600,"naive",1.094658
600,"better",0.661896
600,"naive",1.095254
600,"better",0.708617
600,"naive",1.416951
600,"better",0.757035
600,"naive",1.158677
600,"better",0.677050
600,"blas",0.580315
600,"blas",0.676295
600,"blas",0.600722
600,"blas",0.895411
600,"blas",0.597651
600,"blas",0.699745
600,"blas",0.577072
600,"blas",0.731390
600,"blas",0.602219
600,"blas",0.711499
700,"naive",2.519232
700,"better",1.048258
700,"naive",1.798513
700,"better",1.040517
700,"naive",1.797413
700,"better",1.216554
700,"naive",1.978401
700,"better",1.039337
700,"naive",1.722988
700,"better",1.037721
700,"naive",1.759040
700,"better",1.039408
700,"naive",1.798657
700,"better",1.039094
700,"naive",1.737332
700,"better",1.037696
700,"naive",1.848775
700,"better",1.039590
700,"naive",1.777131
700,"better",1.038215
700,"blas",0.910969
700,"blas",0.910841
700,"blas",0.911591
700,"blas",0.913642
700,"blas",0.916566
700,"blas",0.912286
700,"blas",0.911699
700,"blas",0.917649
700,"blas",0.913263
700,"blas",0.911130
800,"naive",3.234554
800,"better",1.566508
800,"naive",3.340272
800,"better",1.562844
800,"naive",3.271232
800,"better",1.561328
800,"naive",3.311439
800,"better",1.561571
800,"naive",3.265276
800,"better",1.560600
800,"naive",3.266338
800,"better",1.562798
800,"naive",3.265564
800,"better",1.560796
800,"naive",3.231162
800,"better",1.562859
800,"naive",3.229897
800,"better",1.563853
800,"naive",3.232789
800,"better",1.561177
800,"blas",1.377860
800,"blas",1.385395
800,"blas",1.379302
800,"blas",1.380409
800,"blas",1.378531
800,"blas",1.380642
800,"blas",1.380151
800,"blas",1.377769
800,"blas",1.378420
800,"blas",1.378778
900,"naive",5.629031
900,"better",2.228021
900,"naive",5.675623
900,"better",2.248895
900,"naive",5.571588
900,"better",2.335676
900,"naive",5.729333
900,"better",2.231998
900,"naive",5.724093
900,"better",2.233056
900,"naive",6.265373
900,"better",2.637450
900,"naive",6.489706
900,"better",2.347895
900,"naive",6.245531
900,"better",2.229933
900,"naive",6.196502
900,"better",2.468267
900,"naive",6.314227
